neighborhood,n_homes,avg_pct_subsidy,avg_dollar_subsidy_per_home
St. Francis Wood,414,45.5,21203
Forest Hill,889,47.46,16132
Balboa Terrace,526,45.66,14538
Ingleside Terrace,445,49.8,13949
West Portal,1047,54.55,13771
Monterey Heights,410,41.05,13534
Sherwood Forest,385,45.41,13444
Forest Hill Extension,910,45.89,11362
Golden Gate Heights,2203,49.76,10965
Lakeside,434,45.14,10774
Merced Manor,1112,48.93,10644
Pine Lake Park,1757,52.58,10596
Inner Parkside,2444,53.83,10047
Parkside,3706,54.81,10013
Presidio Heights,2834,41.03,9856
Lake Shore,724,53.02,9741
Central Sunset,6630,55.05,9654
Westwood Highlands,853,47.12,9506
Miraloma Park,1483,46.94,9466
Mount Davidson Manor,911,48.1,9460
Midtown Terrace,891,46.86,9292
Outer Parkside,4715,56.26,9279
Merced Heights,1431,52.64,9129
Westwood Park,722,47.41,8938
Sunnyside,2246,48.5,8722
Clarendon Heights,1299,40.8,8709
Outer Sunset,6366,53.76,8369
Sea Cliff,3366,48.47,7948
Glen Park,4520,47.21,7942
Outer Richmond,6152,50.38,7584
Cow Hollow,5413,46.88,7357
Jordan Park/Laurel Heights,3091,49.91,7336
Portola,3810,49.24,7327
Oceanview,1678,48.78,7326
Lake Street,3933,51.77,7241
Pacific Heights,6586,46.17,7158
Inner Sunset,7143,54.27,7150
Russian Hill,9310,49.92,7140
Excelsior,4434,49.56,7095
Croker Amazon,3931,50.68,7031
Little Hollywood,967,50.08,6937
Bernal Heights,8920,45.77,6931
Diamond Heights,2145,37.65,6890
Central Richmond,7470,54.35,6864
Outer Mission,2820,49.15,6761
Marina,7113,50.73,6689
Mission Terrace,3188,47.9,6666
Inner Richmond,7237,51.85,6609
Cole Valley/Parnassus Heights,4269,49.82,6534
Noe Valley,8060,45.78,6506
Visitacion Valley,3553,50.37,6479
Eureka Valley/Dolores Heights,4404,39.14,6475
Forest Knolls,1451,49.31,6429
Lone Mountain,3238,52.05,6272
Ingleside,2139,44.31,6242
Ingleside Heights,1851,45.17,6175
North Beach,4389,56.9,6158
Silver Terrace,2923,48.9,6094
Buena Vista Park/Ashbury Heights,1731,38.72,6027
Corona Heights,2376,39.64,5926
Stonestown,1018,51.42,5675
Lower Pacific Heights,4173,48.4,5641
Bayview Heights,2098,45.03,5539
Bayview,3214,47.6,5319
Potrero Hill,5678,34.98,5257
Western Addition,1755,65.57,5196
Haight Ashbury,3407,44.98,5139
Twin Peaks,3563,43.21,5038
Anza Vista,4311,43.88,4924
Duboce Triangle,4428,38.97,4755
North Panhandle,3107,44.32,4678
Nob Hill,10372,49.32,4630
Telegraph Hill,3639,46.74,4415
Alamo Square,4769,43.4,4227
Downtown,9529,50.84,4021
Van Ness/Civic Center,11324,39.82,3816
Inner Mission,12154,38.22,3777
Mission Dolores,9391,42.61,3675
North Waterfront,1020,30.43,3527
Financial District North,1489,36.66,3070
Union Square,3680,40.87,2949
Hayes Valley,8024,26.04,2352
Central Waterfront/Dogpatch,3050,13.92,2334
Candlestick Point,596,19.05,2265
Mission Bay,5845,12.62,1639
South Beach,6206,15.46,1581
South of Market,7167,6.6,1198
Tenderloin,9431,17.62,1186
Hunters Point,798,10.14,1136
Yerba Buena,4239,7.06,704
Financial District South,5538,-12.13,-103
Treasure Isl./Yerba Buena Isl.,141,-1.7,-868
