lat,lon,addr,sqft,assessed,market,subsidy,change,county
37.36747,-118.40281,"751 Home St, Bishop",23600,490342,605747,1362,-455,Inyo
37.36188,-118.38915,"393 E Line St, Bishop",11000,84641,605747,6149,4332,Inyo
37.3672,-118.40281,"737 Home St, Bishop",16400,298241,605747,3629,1811,Inyo
36.8041,-118.19469,"103 Rosedale Dr, Independence",11132,180667,316130,1598,650,Inyo
36.60538,-118.06469,"105 N Washington St, Lone Pine",6160,194833,379322,2177,1039,Inyo
37.36792,-118.40264,"767 Home St, Bishop",7354,512018,605747,1106,-711,Inyo
36.60478,-118.06438,"125 S Washington St, Lone Pine",5200,66752,379322,3688,2550,Inyo
37.36773,-118.40264,"759 Home St, Bishop",7348,672180,672180,0,-2017,Inyo
37.3678,-118.40294,"724 Rome Dr, Bishop",8904,519209,605747,1021,-796,Inyo
36.60454,-118.0647,"136 S Brewery St, Lone Pine",5000,366116,379322,156,-982,Inyo
36.60466,-118.06476,"126 S Brewery St, Lone Pine",5000,125063,379322,3000,1862,Inyo
36.60492,-118.06489,"104 S Brewery St, Lone Pine",5000,301716,379322,916,-222,Inyo
36.60479,-118.06482,"110 S Brewery St, Lone Pine",5000,155163,379322,2645,1507,Inyo
36.604,-118.06401,"233 S Washington St, Lone Pine",11000,242896,379322,1610,472,Inyo
36.60389,-118.06436,"231 W Post St, Lone Pine",11000,208899,379322,2011,873,Inyo
36.60562,-118.06413,"106 N Washington St, Lone Pine",10000,619081,619081,0,-1857,Inyo
37.36607,-118.40451,"786 Keough St, Bishop",11295,147547,605747,5407,3590,Inyo
37.36607,-118.4042,"774 Keough St, Bishop",11295,188568,605747,4923,3105,Inyo
37.36607,-118.40397,"768 Keough St, Bishop",5647,315042,605747,3430,1613,Inyo
37.36379,-118.39352,"193 May St, Bishop",5200,182482,605747,4995,3177,Inyo
37.36571,-118.40308,"725 W Elm St, Bishop",6745,241816,605747,4294,2477,Inyo
37.36607,-118.40299,"724 Keough St, Bishop",8471,346967,605747,3054,1236,Inyo
37.36607,-118.4035,"742 Keough St, Bishop",5647,280837,605747,3834,2017,Inyo
37.36607,-118.40366,"750 Keough St, Bishop",5647,246107,605747,4244,2427,Inyo
37.36607,-118.40259,"685 Home St, Bishop",8910,492822,605747,1333,-485,Inyo
37.36571,-118.40325,"731 W Elm St, Bishop",6745,412234,605747,2283,466,Inyo
37.36571,-118.40437,"787 W Elm St, Bishop",13490,184519,605747,4970,3153,Inyo
37.36566,-118.40263,"715 West Elm St, Bishop",8825,731119,731119,0,-2193,Inyo
37.36409,-118.39263,"224 E Pine St, Bishop",10400,341591,605747,3117,1300,Inyo
37.36571,-118.4036,"751 W Elm St, Bishop",7419,520200,605747,1009,-808,Inyo
37.3638,-118.39311,"207 May St, Bishop",6448,403814,605747,2383,566,Inyo
37.36409,-118.39313,"462 High St, Bishop",5200,461142,605747,1706,-111,Inyo
37.36518,-118.40442,"786 West Elm St, Bishop",8768,405214,605747,2366,549,Inyo
37.36518,-118.40376,"762 W Elm St, Bishop",6745,364639,605747,2845,1028,Inyo
37.36518,-118.40359,"750 W Elm St, Bishop",6745,266484,605747,4003,2186,Inyo
37.36518,-118.40341,"736 West Elm St, Bishop",6745,522514,605747,982,-835,Inyo
37.36308,-118.39254,"237 Willow St, Bishop",4040,257753,605747,4106,2289,Inyo
37.36518,-118.40315,"730 West Elm St, Bishop",13490,599923,605747,69,-1749,Inyo
37.36308,-118.39271,"231 Willow St, Bishop",6060,416734,605747,2230,413,Inyo
37.36513,-118.40278,"563 Home St, Bishop",11745,308599,605747,3506,1689,Inyo
37.36525,-118.40264,"587 Home St, Bishop",8490,440717,605747,1947,130,Inyo
37.36335,-118.39297,"212 May St, Bishop",5050,301830,605747,3586,1769,Inyo
37.36484,-118.40307,"731 Grove St, Bishop",5500,195258,605747,4844,3027,Inyo
37.36335,-118.39314,"206 May St, Bishop",5050,93093,605747,6049,4232,Inyo
37.36484,-118.40393,"769 Grove St, Bishop",5500,181048,605747,5011,3194,Inyo
37.36484,-118.4041,"775 Grove St, Bishop",5500,199859,605747,4789,2972,Inyo
37.36484,-118.40428,"781 Grove St, Bishop",5500,38718,605747,6691,4874,Inyo
37.36336,-118.39238,"250 May St, Bishop",5050,128765,605747,5628,3811,Inyo
37.36518,-118.40419,"780 W Elm St, Bishop",9443,318721,605747,3387,1570,Inyo
37.36518,-118.40396,"768 W Elm St, Bishop",8768,249215,605747,4207,2390,Inyo
37.36336,-118.39217,"262 May St, Bishop",5050,209772,605747,4672,2855,Inyo
